name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,realease_year
Froggy,LAV8,0.946,0.526,0,-8.91,0,0.359,0.804,0.611,0.113,0.532,140.005,137319,4,2022
Always,niquo,0.612,0.231,9,-15.83,1,0.0295,0.972,0.907,0.091,0.091,98.095,172388,4,2022
Dresden,Worldtraveller,0.701,0.25,0,-14.627,1,0.0359,0.782,0.68,0.136,0.101,116.002,132942,4,2022
Kite,Moderator,0.832,0.264,8,-16.108,0,0.349,0.232,0.696,0.112,0.45,81.018,143704,4,2022
Between Us,BƱBBLE,0.559,0.588,0,-8.969,1,0.183,0.757,0.743,0.072,0.129,70.401,116589,4,2022
Permanent Vacation,Polo Stay,0.511,0.232,1,-12.392,1,0.119,0.575,0.841,0.12,0.699,160.355,78000,4,2022
Sun Touched,J. Lorenzo,0.782,0.467,1,-10.136,0,0.0648,0.825,0.84,0.16,0.638,77.027,163784,4,2022
It Will Be Okay,Signature D,0.501,0.247,4,-8.406,1,0.0313,0.75,0.866,0.111,0.276,176.123,138526,3,2022
Particles,alt.bin.beats,0.802,0.268,2,-14.698,1,0.0898,0.825,0.696,0.336,0.673,90.014,152667,4,2022
Few & Far Between,squeeda,0.672,0.282,11,-16.97,1,0.0403,0.919,0.896,0.0781,0.166,127.962,175123,4,2022
Sunflakes,RLLBTS,0.697,0.575,0,-9.67,0,0.0406,0.00291,0.612,0.106,0.685,88.014,134318,4,2022
Will They Try - Beat Edit,Isatta Sheriff,0.749,0.547,4,-10.824,0,0.0432,0.0459,0.454,0.266,0.378,82.987,173813,4,2022
Second Chance,Saiko,0.64,0.449,7,-8.37,0,0.103,0.184,0.856,0.114,0.333,85.197,118588,4,2022
foreplay perfume,Knowsum,0.759,0.33,2,-9.63,0,0.0659,0.00544,0.842,0.133,0.448,84.985,115765,4,2022
Cat's Cradle,Various Artists,0.766,0.227,8,-11.91,1,0.0335,0.625,0.959,0.129,0.14,114.002,187643,4,2022
WAYWAY,Kim Kozy,0.689,0.282,10,-15.179,0,0.266,0.523,0.763,0.125,0.429,172.019,149333,4,2022
Kizakura,No Spirit,0.562,0.699,3,-9.105,0,0.0377,0.646,0.874,0.101,0.358,82.986,185813,4,2022
Aubade,Tom Doolie,0.808,0.207,9,-14.228,1,0.0819,0.889,0.931,0.145,0.666,124.083,111253,4,2022
Nebula,Moderator,0.649,0.438,5,-12.505,0,0.0442,0.0602,0.81,0.124,0.267,81.591,167647,4,2022
Crystallized,Goson,0.654,0.373,7,-10.444,1,0.0595,0.65,0.784,0.104,0.315,85.022,126030,4,2022
Sleep Tight,Dontcry,0.728,0.178,4,-19.544,0,0.0911,0.83,0.896,0.0638,0.148,130.379,118154,4,2022
Jelly,Prigida,0.803,0.706,8,-8.68,1,0.0485,0.712,0.155,0.0986,0.392,114.748,163256,5,2022
When Our Eyes Met,Natasha Ghosh,0.647,0.0958,7,-20.602,1,0.115,0.925,0.898,0.178,0.532,76.041,64000,4,2022
Zzz..,mt. fujitive,0.482,0.0253,11,-19.649,1,0.0615,0.945,0.926,0.0943,0.433,186.922,77883,3,2022
Lucid,Tonion,0.639,0.444,8,-11.793,1,0.0858,0.212,0.841,0.114,0.23,168.0,171429,4,2022
Daylight,Phlocalyst,0.78,0.334,0,-12.921,1,0.369,0.77,0.83,0.115,0.383,91.079,172747,4,2022
Comfort Rework,Seaspray,0.63,0.683,8,-9.401,0,0.0405,0.215,0.778,0.243,0.651,134.99,92889,4,2022
Burnt Toast,Dualizm,0.738,0.26,11,-12.784,0,0.0319,0.112,0.917,0.114,0.563,86.975,130345,4,2022
La Fleur,Lito Akari,0.764,0.285,8,-12.977,0,0.339,0.741,0.93,0.105,0.279,152.085,115814,4,2022
Sail Slow,London Lighthouse,0.44,0.386,11,-8.974,0,0.0932,0.751,0.863,0.138,0.414,80.971,143657,4,2022
Sunday Swamp,Nobel,0.531,0.455,2,-12.572,1,0.193,0.831,0.917,0.11,0.306,148.066,169584,4,2022
Momentum,fnonose,0.639,0.262,8,-10.038,0,0.195,0.0615,0.841,0.107,0.498,84.901,117882,4,2022
Traffic Jam,Reggie San Miguel,0.774,0.483,8,-10.307,1,0.0516,0.186,0.886,0.113,0.544,94.997,141474,4,2022
Autumn in Bedford,Art Vandeley,0.381,0.595,9,-5.255,1,0.0384,0.289,0.989,0.12,0.649,79.223,129600,4,2022
